occupation,soc_code,automation_probability,required_education,employed_may_2016,median_annual_wage_usd,average_annual_wage_usd
"Grinding, Lapping, Polishing and Buffing Machine Tool Setters, Operators and Tenders, Metal and Plastic",51-4033,0.95,High School,74600.0,32890.0,34920.0
"Separating, Filtering, Clarifying, Precipitating and Still Machine Setters, Operators and Tenders",51-9012,0.88,High School,47160.0,38360.0,41450.0
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",41-4012,0.85,High School,1404050.0,57140.0,68410.0
First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,53-1031,0.029,High School,202760.0,57270.0,59800.0
"Molding, Coremaking and Casting Machine Setters, Operators and Tenders, Metal and Plastic",51-4072,0.95,High School,145560.0,30480.0,32660.0
"Extruding and Forming Machine Setters, Operators and Tenders, Synthetic and Glass Fibers",51-6091,0.88,High School,19340.0,34240.0,35420.0
"Cutting, Punching and Press Machine Setters, Operators and Tenders, Metal and Plastic",51-4031,0.78,High School,192800.0,32370.0,34210.0
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",41-4011,0.25,Bachelor’s Degree,328370.0,78980.0,92910.0
"Drilling and Boring Machine Tool Setters, Operators and Tenders, Metal and Plastic",51-4032,0.94,High School,12290.0,36410.0,38880.0
"Extruding, Forming, Pressing and Compacting Machine Setters, Operators and Tenders",51-9041,0.93,High School,71260.0,32510.0,34370.0
"Lathe and Turning Machine Tool Setters, Operators and Tenders, Metal and Plastic",51-4034,0.84,High School,33850.0,38480.0,39630.0
"Extruding and Drawing Machine Setters, Operators and Tenders, Metal and Plastic",51-4021,0.91,High School,71960.0,33870.0,35340.0
"TextileWinding, Twisting and Drawing Out Machine Setters, Operators and Tenders",51-6064,0.96,High School,30340.0,27500.0,28110.0
"First-Line Supervisors of Landscaping, Lawn Service and Groundskeeping Workers",37-1012,0.57,High School,103070.0,45740.0,48790.0
"Secretaries and Administrative Assistants, Except Legal, Medical and Executive",43-6014,0.96,High School,2295510.0,34820.0,36140.0
"Electrical and Electronics Installers and Repairers, Transportation Equipment",49-2093,0.91,Associate Degree,13960.0,59280.0,59840.0
"Information Security Analysts, Web Developers and Computer Network Architects",15-1179,0.21,Associate Degree,188740.0,62670.0,67770.0
"Milling and Planing Machine Setters, Operators and Tenders, Metal and Plastic",51-4035,0.98,High School,17560.0,39840.0,41180.0
"Plating and Coating Machine Setters, Operators and Tenders, Metal and Plastic",51-4193,0.92,High School,35570.0,31280.0,33690.0
"Telecommunications Equipment Installers and Repairers, Except Line Installers",49-2022,0.36,Associate Degree,228430.0,53640.0,54520.0
"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",51-4012,0.36,High School,25180.0,50580.0,53560.0
"Food and Tobacco Roasting, Baking and Drying Machine Operators and Tenders",51-3091,0.91,High School,20080.0,28570.0,30970.0
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",17-2111,0.028,Bachelor’s Degree,25410.0,86720.0,90190.0
Adult Basic and Secondary Education and Literacy Teachers and Instructors,25-3011,0.19,Bachelor’s Degree,58810.0,50650.0,55140.0
"Electrical and Electronics Repairers, Commercial and Industrial Equipment",49-2094,0.41,Associate Degree,67390.0,56250.0,56990.0
"Heat Treating Equipment Setters, Operators and Tenders, Metal and Plastic",51-4191,0.91,High School,19780.0,37180.0,39010.0
"Helpers–Brickmasons, Blockmasons, Stonemasons and Tile and Marble Setters",47-3011,0.83,High School,23950.0,30570.0,33610.0
"Lifeguards, Ski Patrol and Other Recreational Protective Service Workers",33-9092,0.67,High School,145100.0,20290.0,22640.0
"Postal Service Mail Sorters, Processors and Processing Machine Operators",43-5053,0.79,High School,110770.0,56220.0,49710.0
"Secondary School Teachers, Except Special and Career/Technical Education",25-2031,0.0078,Bachelor’s Degree,1003250.0,58030.0,61420.0
"Crushing, Grinding and Polishing Machine Setters, Operators and Tenders",51-9021,0.97,High School,29830.0,34390.0,36050.0
"Door-to-Door Sales Workers, News and Street Vendors and Related Workers",41-9091,0.94,High School,8040.0,24330.0,28630.0
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",53-3011,0.25,High School,17300.0,23850.0,25600.0
"Electrical and Electronics Repairers, Powerhouse, Substation and Relay",49-2095,0.38,Associate Degree,23060.0,75670.0,74540.0
"MultipleMachine Tool Setters, Operators and Tenders, Metal and Plastic",51-4081,0.91,High School,117300.0,34340.0,36190.0
"Coating, Painting and Spraying Machine Setters, Operators and Tenders",51-9121,0.91,High School,85760.0,32790.0,34460.0
"First-Line Supervisors of Helpers, Laborers and Material Movers, Hand",53-1021,0.42,High School,183620.0,47230.0,50160.0
"Middle School Teachers, Except Special and Career/Technical Education",25-2022,0.17,Bachelor’s Degree,626310.0,56720.0,59800.0
"Welding, Soldering and Brazing Machine Setters, Operators and Tenders",51-4122,0.61,High School,46920.0,36980.0,38380.0
"Cleaning, Washing and Metal Pickling Equipment Operators and Tenders",51-9192,0.81,High School,17860.0,28550.0,30590.0
"Heating, Air Conditioning and Refrigeration Mechanics and Installers",49-9021,0.65,Associate Degree,294730.0,45910.0,48320.0
"Human Resources, Training and Labor Relations Specialists, All Other",13-1078,0.31,Bachelor’s Degree,79430.0,62310.0,64250.0
First-Line Supervisors of Office and Administrative Support Workers,43-1011,0.014,High School,1443150.0,54340.0,57890.0
"Textile Knitting and Weaving Machine Setters, Operators and Tenders",51-6063,0.73,High School,21550.0,27470.0,28380.0
"Combined Food Preparation and Serving Workers, Including Fast Food",35-3021,0.92,High School,3426090.0,19440.0,20460.0
"Control and Valve Installers and Repairers, Except Mechanical Door",49-9012,0.63,High School,45740.0,54520.0,56180.0
"Environmental Science and Protection Technicians, Including Health",19-4091,0.77,Associate Degree,32950.0,44190.0,47930.0
"Mining and Geological Engineers, Including Mining Safety Engineers",17-2151,0.14,Bachelor’s Degree,6940.0,93720.0,103010.0
"Forging Machine Setters, Operators and Tenders, Metal and Plastic",51-4022,0.93,High School,19160.0,36930.0,38710.0
"Rolling Machine Setters, Operators and Tenders, Metal and Plastic",51-4023,0.83,High School,29060.0,40680.0,41900.0
"Woodworking Machine Setters, Operators and Tenders, Except Sawing",51-7042,0.97,High School,76130.0,28510.0,29850.0
"Agents and Business Managers of Artists, Performers and Athletes",13-1011,0.24,Bachelor’s Degree,13470.0,62080.0,86560.0
"Education Administrators, Preschool and Childcare Center/Program",11-9031,0.015,Bachelor’s Degree,48530.0,45790.0,52150.0
Electronic Home Entertainment Equipment Installers and Repairers,49-2097,0.65,Associate Degree,25550.0,37410.0,39340.0
